Author_ID	FName	Minit	LName
1	Mark	P	Lenardon
2	Mark	P	Lenardon
3	Richard	B	Wright
4	Carlo	NULL	D'Este
5	Gina	NULL	Kolata
6	Elizabeth	W	Barber
7	Amy	NULL	Tan
8	Robert	NULL	Cowley
9	Scott	T	Keach
10	David	NULL	Cordingly
11	Ann	NULL	Beattie
12	David	A	Richards
13	Kensington	NULL	Kensington
14	Sheila	NULL	Heti
15	J.	R	Kaiser
16	Jack	C	Haw
17	Loren	D	Kenneth
18	Robert	NULL	Hendrickson
19	Julia	NULL	Oliver
20	John	NULL	Grisham
21	Toni	NULL	Morrison
22	The	O	Loew
23	Celia	B	Webb
24	J.	R	Parrish
25	Mary-kate	&	Olsen
26	Robynn	NULL	Clairday
27	Kathleen	D	Dodge
28	Rich	NULL	Shapero
29	Michael	NULL	Crichton
30	Michael	NULL	Crichton
31	C.S.	NULL	Lewis
32	Arthur	NULL	Phillips
33	Stephen	NULL	Jaramillo
34	Mordecai	R	Grube
35	Eleanor	C	Altieri
36	Charlotte	NULL	Link
37	Richard	N	Lutze
38	Mark	NULL	Salzman
39	Harper	NULL	Lee
40	Laura	NULL	Hillenbrand
41	Barbara	NULL	Kingsolver
42	Jo	NULL	Dereske
43	Jane	NULL	Austen
44	Dolores	NULL	Krieger
45	Anne	R	Siddons
46	Dean	NULL	Koontz
47	Mary	H	Clark
48	Dean	NULL	Koontz
49	Patricia	NULL	Cornwell
50	J.D.	NULL	Robb
51	Maeve	NULL	Binchy
52	Laura	J	Mixon
53	Tim	L	Jenkins
54	John	NULL	Grisham
55	Bernie	S	M.D.
56	Robert	P	Warren
57	Hans	J	Hoefer
58	Mark	NULL	Helprin
59	O.	C	Ph.D.,Stepha
60	Chuck	NULL	Hill
61	David	NULL	Iglehart
62	Larry	NULL	McMurtry
63	Suzanne	F	Staples
64	Suzanne	F	Staples
65	Michel	NULL	Tournier
66	Carl	NULL	Sagan
67	Aleksandr	NULL	Zinoviev
68	Anne	NULL	Tyler
69	Amy	NULL	Tan
70	Joseph	NULL	Conrad
71	Deepak	C	Greenberg
72	Thomas	NULL	Hardy
73	Charles	N	Baker
74	Valerie	NULL	Frankel
75	Benjamin	NULL	Hoff
76	Laura	NULL	Hillenbrand
77	Niccolo	NULL	Machiavelli
78	H.	J	Jr.
79	Robert	A	Heinlein
80	Philip	NULL	Pullman
81		NULL	
82	Michael	NULL	Ondaatje
83	Sandra	L	Ceren
84	P.	J	O'Rourke
85	Mike	NULL	Gayle
86	Stel	NULL	Pavlou
87	Sarah	P	Stuart
88	Dan	NULL	Quayle
89	Donald	F	Kettl
90	David	NULL	Frum
91	Louis	NULL	L'Amour
92	J.D.	NULL	Salinger
93	John	NULL	Berendt
94	Mary	H	Clark
95	Jennifer	NULL	Crusie
96	Jane	NULL	Heller
97	Michael	NULL	Rips
98	Simon	NULL	Mawer
99	William	NULL	Abrahams
100	Robert	T	Lechter
101	Ken	NULL	Follett
102	John	F	Love
103	Robert	G	Allen
104	Louis	D	Bernieres
105	Pam	P	Schoen
106	Mitch	NULL	Albom
107	Michael	J	Moore
108	Glendon	NULL	Swarthout
109	Neal	B	Straczynski
110	David	NULL	Morrell
111	Sandra	NULL	Brown
112	James	P	Jonge
113	Sandra	NULL	Brown
114	Stuart	NULL	Woods
115	Iris	NULL	Johansen
116	Dan	NULL	Brown
117	Joe	NULL	Hutsko
118	Anita	NULL	Shreve
119	Ann	NULL	Rule
120	Lewis	NULL	Grizzard
121	Paul	NULL	Theroux
122	Lewis	NULL	Grizzard
123	Charles	H	O'Brien
124	Stephen	NULL	King
125	Ben	NULL	Mezrich
126	Bill	NULL	Hand
127	Tom	NULL	Clancy
128	Dana	NULL	Reeve
129	Roy	NULL	Roy
130	Barbara	NULL	Metzger
131	Gabriel	G	Marquez
132	Rebecca	NULL	Wells
133	Tony	NULL	Hillerman
134	Mary	H	Clark
135	Robert	J	Waller
136	Rachel	NULL	Harris
137	Ian	NULL	McEwan
138	Michael	NULL	Lewis
139	Richard	NULL	Zimler
140	Norman	NULL	Jetmundsen
141	Lorenzo	NULL	Carcaterra
142	Anne	NULL	Frasier
143	Kay	NULL	Hooper
144	Daphne	D	Maurier
145	Nathaniel	H	Marx
146	Nick	NULL	Page
147	Laura	NULL	Wolf
148	Lois	NULL	Duncan
149	Susan	NULL	Grant
150	Barbara	NULL	Vine
151	Shirley	R	Murphy
152	Jane	NULL	Lindskold
153	Robert	J	Waller
154	Betty	NULL	Smith
155	Cybill	S	Ball
156	Stewart	NULL	O'Nan
157	David	NULL	Baldacci
158	Douglas	NULL	Adams
159	Mary	NULL	Lawson
160	Willa	NULL	Cather
161	Olivia	NULL	Goldsmith
162	Helen	NULL	Fielding
163	Jane	A	Editions
164	Franklin	W	Dixon
165	Franklin	W	Dixon
166	Franklin	W	Dixon
167	Lilian	J	Braun
168	Holly	V	Hammond
169	H.	N	Wright
170	Piers	NULL	Anthony
171	Ray	NULL	Bradbury
172	Friedrich	S	Schafarschik
173	Ray	B	Naujack
174	Raymond	C	Wollschläger
175	Ray	NULL	Bradbury
176	Ray	B	Schlück
177	Ray	B	Wölfl
178	Ray	B	Schmitz
179	Ray	NULL	Bradbury
180	Ray	NULL	Bradbury
181	Ray	B	Ker
182	Ray	NULL	Bradbury
183	Paulo	C	Meyer-Minnemann
184	Gabriel	G	Márquez
185	Fay	NULL	Weldon
186	Arabella	NULL	Weir
187	Kiana	D	Längsfeld
188	Sue	NULL	Townsend
189	Renan	NULL	Demirkan
190	Michael	M	Schlatterer
191	Jonathan	F	Abarbanell
192	J.	D	Böll,Elisab
193	J.	D	Böll
194	James	J	Wollschläger
195	Joanna	NULL	Trollope
196	Sue	T	Gittinger
197	Milan	NULL	Kundera
198	Arundhati	NULL	Roy
199	Robert	S	Levinson
200	James	NULL	Patterson
201	James	NULL	Patterson
202	Richard	N	Patterson
203	Michael	NULL	Crichton
204	Richard	N	Patterson
205	Lorna	NULL	Landvik
206	Arthur	NULL	Golden
207	Kent	NULL	Haruf
208	Patricia	D	Cornwell
209	Patricia	D	Cornwell
210	Carol	J	Newsom
211	Kathleen	E	Woodiwiss
212	Kathleen	E	Woodiwiss
213	Belva	NULL	Plain
214	John	NULL	Grisham
215	John	NULL	Grisham
216	Mark	NULL	Haddon
217	John	NULL	Grisham
218	Ann	NULL	Brashares
219	Erich	NULL	Segal
220	Elizabeth	NULL	Adler
221	James	NULL	Patterson
222	Nicholas	NULL	Sparks
223	John	NULL	Saul
224	Lorna	NULL	Landvik
225	Stephen	NULL	King
226	Steve	NULL	Thayer
227	Tracy	NULL	Chevalier
228	Judith	NULL	Kelman
229	Michael	NULL	Palmer
230	Francine	NULL	Hughes
231	Norman	NULL	Bridwell
232	Patricia	NULL	Cornwell
233	Dan	NULL	Brown
234	Frank	NULL	McCourt
235	Dan	NULL	Brown
236	Malachy	NULL	Mccourt
237	Mari	NULL	Sandoz
238	Anne	NULL	Perry
239	Alexander	M	Smith
240	Jack	C	Bergman
241	Gregory	NULL	Maguire
242	Yann	NULL	Martel
243	Ruth	NULL	Rendell
244	Al	NULL	Franken
245	Donna	NULL	Tartt
246	Jack	C	Haw
247	John	NULL	Milne
248	Anita	NULL	Shreve
249	Terry	NULL	Pratchett
250	Terry	NULL	Pratchett
251	Terry	NULL	Pratchett
252	E.	B	Williams
253	J.	M	Barrie
254	Mary	NULL	O'Hara
255	Terry	P	Kidby
256	Terry	NULL	Pratchett
257	Terry	NULL	Pratchett
258	Terry	NULL	Pratchett
259	Louise	NULL	Rennison
260	JANE	NULL	AUSTEN
261	Kenneth	NULL	Grahame
262	Bernard	NULL	Cornwell
263	Charles	D	Lint
264	Lord	D	Gaiman
265	Georgette	NULL	Heyer
266	Oscar	W	Eugenides
267	Ted	H	Davidson
268	Roald	D	Blake
269	Philip	NULL	Pullman
270	Philip	NULL	Pullman
271	Philip	NULL	Pullman
272	Sue	NULL	Townsend
273	Ray	NULL	Bradbury
274	Donna	J	Napoli
275	A.S.	NULL	Byatt
276	Tanuja	D	Hidier
277	Sophie	NULL	Kinsella
278	Isabel	NULL	Wolff
279	Louisa	M	Alcott
280	Jane	A	Drabble
281	George	NULL	Orwell
282	Charles	NULL	Dickens
283	Isabel	NULL	Allende
284	Barbara	NULL	Kingsolver
285	Ellen	D	Gaim
286	Charles	NULL	Dickens
287	A.S.	NULL	Byatt
288	Joseph	NULL	Heller
289	John	NULL	Galsworthy
290	Enid	NULL	Blyton
291	Enid	NULL	Blyton
292	Neil	NULL	Gaiman
293	Alan	M	Dimagmaliw
294	Neil	G	Jon
295	Alan	NULL	Moore
296	Neil	G	Bolton
297	Trudy	NULL	Suggs
298	Tom	NULL	Wolfe
299	Brady	NULL	Udall
300	Homer	NULL	Hickam
301	John	NULL	Grisham
302	Pearl	NULL	Abraham
303	Thomas	NULL	Hardy
304	Sebastian	NULL	Junger
305	Karen	NULL	Armstrong
306	Mary	B	Fitts
307	David	NULL	Brin
308	T.	C	Boyle
309	Plato,Alexander	N	Woodruff
310	Lynda	M	Aher
311	Stephen	NULL	Mccauley
312	Isabelle	NULL	Holland
313	Pam	NULL	Conrad
314	Lurlene	NULL	Mcdaniel
315	Brian	NULL	Kaufman
316	John	NULL	Darnton
317	Martin	NULL	Schenk
318	David	E	Eddings
319	Paul	NULL	Reiser
320	David	G	Cramer
321	Dave	NULL	Barry
322	John	R	Holt
323	Theodore	NULL	Beale
324	Frank	M	Robinson
325	Mary	J	Clark
326	Mary	S	Editions
327	Robert	NULL	Westall
328	Robert	B	Parker
329	Rita	C	Works
330	Patricia	NULL	Cornwell
331	Douglas	A	Carwardine
332	A.	M	Ansay
333	Sarah	NULL	Waters
334	Anne	NULL	Frank
335	Barry	NULL	Lopez
336	Greg	NULL	Palast
337	Tom	NULL	Clancy
338	Andrea	NULL	Kane
339	Nevada	NULL	Barr
340	Margaret	NULL	Maron
341	Edna	B	Rogers
342	Muriel	NULL	Whitaker
343	John	NULL	Irving
344	William	G	Stiehl
345	HarperReference	NULL	HarperReference
346	LTD	NULL	LTD
347	Ann	NULL	Patchett
348	Roald	D	Smith
349	Sue	M	(Co
350	Bob	T	Allen
351	Dan	NULL	Brown
352	Colleen	NULL	Mccullough
353	Joanne	NULL	Harris
354	John	NULL	Grisham
355	Thomas	NULL	Cahill
356	John	NULL	Grisham
357	Michael	NULL	Hudson
358	Jane	NULL	Smiley
359	Dick	NULL	Francis
360	Dick	NULL	Francis
361	Nora	NULL	Roberts
362	Douglas	NULL	Adams
363	Jean	M	Carson
364	Jean	M	Wick
365	Barbara	NULL	Delinsky
366	P.	D	James
367	Arthur	W	Upfield
368	Barbara	NULL	Delinsky
369	Christopher	NULL	Rice
370	Rex	NULL	Stout
371	Joan	NULL	Anderson
372	Vance	NULL	Havner
373	Warren	W	Wiersbe
374	Max	NULL	Lucado
375	Larry	NULL	Crabb
376	Barry	N	Kaufman
377	Bob	NULL	Sjogren
378	Frederick	J	Moody
379	Neal	NULL	Pirolo
380	William	NULL	Sleator
381	Antoine	D	Saint-Exupery
382	Richard	NULL	Bach
383	Kevin	NULL	Sullivan
384	Michele	NULL	Morgan
385	Scott	NULL	Cunningham
386	David	A	Hulse
387	Richard	NULL	Webster
388	Bernard	NULL	King
389	Pat	H	Hutchins
390	William	S	Gill
391	Melissa	NULL	McClone
392	Cheryl	S	John
