Author_ID	ISBN
12375	0001047973
10807	0001360469
10811	0001374869
18955	0001714600
3	0002005018
13508	0002005395
22461	0002179687
23197	0002215810
10796	0002219476
13260	0002229544
17849	0002243776
17935	0002244098
6190	0002245663
12910	0002257580
4933	0002258579
6482	0002261529
21790	0002550563
18662	0002712172
6047	0002713276
146	0002740230
12113	0004121120
13918	0006135986
12954	0006143199
1226	0006276199
24990	0006278841
8829	0006280803
16440	0006329527
1363	000636988X
19230	0006372570
7746	0006374093
17924	0006385370
19927	0006386369
8289	0006392466
2701	0006476333
6186	0006479383
6183	0006479650
17934	0006480608
8685	0006480764
9972	0006485936
5353	0006498000
13085	0006498035
1230	000649840X
7173	0006510019
20893	0006511767
4305	0006513409
5951	0006514588
9933	0006547834
17323	0006548180
13892	000654861X
11619	0006550576
1867	0006550789
9688	0006551076
15218	0006642004
15219	0006643094
10803	0006716067
7035	0006727492
12181	0006742939
12899	0006749151
13173	0006751032
5649	0006751504
10804	000692347X
772	0007100221
4442	0007101953
2743	0007103999
5405	0007106130
8856	0007106572
1614	0007108648
6483	0007110928
15307	0007119860
4356	0007134495
6419	0007137508
3149	0007154615
17705	0007155093
2481	0020083513
9499	0020154402
9396	0020178506
10720	0020191200
9397	0020198507
8721	0020198817
10437	0020198906
21954	0020199082
468	0020199090
14739	0020199309
10766	0020199600
17787	0020199856
18071	0020223722
14509	0020236107
3602	002026478X
10861	0020292651
9376	002031275X
14472	0020360754
9069	0020404808
21778	0020412401
6127	0020418809
3826	0020427859
9223	0020433115
15150	0020435207
23845	0020436904
389	0020437501
24715	0020442009
24543	0020442106
9159	0020442203
23566	0020442300
574	0020442408
2922	0020442602
18206	0020446500
18516	0020447019
9498	0020474105
1674	0020518609
22487	0020518706
3364	0020519001
2870	0020519109
5947	0020519303
12692	0020519605
2868	0020532105
6001	0020545509
19497	0020631502
19672	0020868308
22256	0020868804
23565	0020868901
16199	0020869002
15889	0020960808
10332	0023193913
18247	0023376627
13277	002346450X
7991	0023672609
15565	0024031216
10533	0024080918
18143	0024103411
9500	0024182001
16173	0025003305
24260	0025182005
23699	0025196359
12117	0025294458
3640	002542730X
3643	0025473905
18408	0026098407
13841	0026125803
488	0026329859
19815	0026885522
16142	0026890380
11966	002708230X
16556	0027357813
18052	0027582000
24583	0027701301
5450	0028600819
4944	0028604032
12915	0028604199
21953	0028604202
8659	0028604695
1934	0028606353
19042	0028606736
18138	0028610105
12243	0028610865
11512	0028612671
13898	0028613228
14820	0028613430
14517	0028617274
7042	0028617363
5799	0028620666
2004	0028621239
4863	0028625757
21064	002862615X
1863	0028626958
23694	0028630092
23711	0028630238
23710	0028634691
10333	0028639227
3739	0028642333
23511	0028702506
4488	0029023106
1286	0029087104
11984	002920528X
3144	0029281113
22943	002963900X
2451	0030020786
20999	0030037166
16443	0030056284
20487	0030074312
518	0030096189
20609	0030119502
21746	0030149061
3821	0030181011
23292	0030195160
14409	0030211212
23365	0030226864
11614	0030291798
21011	0030419964
9725	0030423910
16835	0030442818
10761	0030448565
13788	0030463262
9786	0030476267
20540	0030554381
24151	0030577861
15926	0030589533
13763	0030597862
13110	0030598583
1256	0030615321
8941	0030622093
19713	0030628822
15922	0030632366
19142	0030640075
12277	0030844924
7999	0030914566
4128	0043510744
6810	0044402449
22573	0044409001
22619	0044409575
10312	0048231398
10882	0060000791
15299	0060000805
19478	006000133X
2657	0060001445
2636	0060001453
2637	0060002050
18974	0060002093
18706	0060002433
1956	0060002492
4619	006000438X
3094	0060004533
7480	006000469X
21839	0060004703
10511	0060005009
13985	0060005424
5834	0060005556
833	0060006048
20940	0060006765
7076	006000777X
7875	006000780X
6921	0060008024
14134	0060008369
4271	0060008776
13082	0060008865
24162	0060008873
3972	0060009225
2627	0060009241
10280	0060009462
8085	0060009640
3577	0060011912
7851	006001203X
11867	0060012331
250	0060013117
21697	0060080841
5516	006008118X
25000	0060081651
19006	0060081961
11275	0060082194
14833	0060083263
676	0060083298
7917	0060083948
5821	0060083956
18566	0060084022
11833	0060084405
16617	0060084456
15138	0060085444
24898	0060085894
4878	0060086246
19283	0060086386
10002	006008829X
8864	0060089296
16722	0060090367
8487	0060090375
18776	0060090383
8303	0060092165
3433	0060092645
3595	0060092963
19303	0060093412
18689	0060093595
14151	0060094397
18153	0060094745
1669	0060094850
12714	006009527X
16543	0060096195
24250	0060096209
19075	0060096772
16607	0060097469
19515	0060097825
23373	0060098538
14481	0060099062
6230	0060112719
1804	0060116188
6880	0060119071
20291	0060139145
9609	0060149426
10716	0060152583
23471	0060153016
2021	006015456X
12921	0060154969
655	006015781X
16585	0060157992
13586	0060158638
8797	0060159081
3352	006016185X
13091	006016249X
17074	0060163097
8184	0060163283
19643	0060163402
12127	0060163704
9583	0060163747
15099	0060164662
6642	0060165979
8713	0060167033
2397	0060167084
18409	0060167688
41	0060168013
8649	006016848X
11726	0060168528
9608	0060168536
19118	0060168609
8080	0060169281
23714	0060169613
2044	0060170441
23093	0060170808
12979	0060170832
22133	0060171324
4783	0060171405
585	006017143X
1173	0060171510
21794	0060171626
17757	0060171928
17993	0060172754
14802	0060172789
17011	0060173084
12271	0060173092
12499	0060173211
396	0060173289
4871	0060174056
24698	0060174110
17774	0060174900
23012	0060175184
1790	0060175400
2319	0060175532
8994	0060175680
11631	0060175796
2885	0060175966
8660	0060176156
11344	0060176539
8880	0060176563
3506	0060176628
9604	0060176873
13751	0060177012
7903	0060177225
22094	0060177241
88	0060177586
13216	0060177888
10932	0060178248
9600	0060179228
11399	0060179341
1881	006017935X
24315	0060179716
16984	0060179988
13008	0060182687
2064	0060182792
8086	0060182970
14634	0060183039
20172	0060183136
3466	0060183527
20251	0060185147
12521	0060185252
16870	0060185287
3497	0060185430
21891	0060185708
